zip_code,customer_id,account_id,tenure_months,num_referrals,has_internet_service,internet_type,has_unlimited_data,has_phone_service,has_multiple_lines,has_premium_tech_support,has_online_security,has_online_backup,has_device_protection,contract_type,paperless_billing,payment_method,avg_long_distance_fee_monthly,total_long_distance_fee,avg_gb_download_monthly,stream_tv,stream_movie,stream_music,total_monthly_fee,total_charges_quarter,total_refunds,status,churn_label,churn_category,churn_reason,gender,age,senior_citizen,married,num_dependents,area_id,city,latitutde,longitude,population
92123,0334-ZFJSR,AAJU-HMJLK,55,0,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Credit Card,35.38,1945.9,13,No,No,No,66.05,3462.1,44.53,Stayed,No,,,Female,41,No,Yes,0,371,San Diego,32.808814,-117.134694,25232
93311,4006-HKYHO,AAMB-TJYWC,63,0,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,29.58,1863.54,47,Yes,Yes,Yes,86.7,5309.5,0.0,Stayed,No,,,Male,24,No,No,0,696,Bakersfield,35.16207,-119.194488,20440
92040,3258-SYSWS,AANL-MWPZF,72,0,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,24.67,1776.24,26,Yes,Yes,No,113.8,7845.8,0.0,Stayed,No,,,Male,75,Yes,No,0,329,Lakeside,32.909873,-116.906774,42277
95555,1820-DJFPH,ABBQ-EXMMW,72,4,No,None,No,Yes,Yes,No,No,No,No,Two Year,Yes,Bank Withdrawal,48.29,3476.88,0,No,No,No,24.05,1709.15,0.0,Stayed,No,,,Female,59,No,Yes,3,1310,Orick,41.336354,-124.044354,494
93304,0582-AVCLN,ABHW-EXJZF,38,0,No,None,No,Yes,No,No,No,No,No,Two Year,No,Credit Card,43.19,1641.22,0,No,No,No,20.3,743.05,0.0,Stayed,No,,,Female,43,No,No,0,690,Bakersfield,35.339796,-119.023552,44588
95014,2371-JUNGC,ABJG-QLGHV,11,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,28.62,314.82,0,No,No,No,20.25,208.0,0.0,Stayed,No,,,Male,46,No,No,0,1067,Cupertino,37.306612,-122.080621,54431
91945,4488-KQFDT,ABRO-HZAVE,61,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Bank Withdrawal,15.44,941.84,30,Yes,Yes,Yes,103.95,6423.0,0.0,Stayed,No,,,Female,21,No,No,0,304,Lemon Grove,32.733564,-117.033713,24961
94618,2700-LUEVA,ABZW-YNPHD,1,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,36.28,36.28,0,No,No,No,20.75,20.75,0.0,Joined,No,,,Male,49,No,No,0,1006,Oakland,37.84551,-122.235181,15438
91766,3589-PPVKW,ACCA-SYCSE,9,0,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,38.65,347.85,26,No,No,No,44.4,348.15,0.0,Stayed,No,,,Male,19,No,No,0,271,Pomona,34.042286,-117.756106,69974
95974,1600-DILPE,ACDG-SFELI,12,0,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,36.11,433.32,13,No,No,No,45.0,524.35,0.0,Stayed,No,,,Female,47,No,No,0,1505,Richvale,39.495768,-121.747472,74
92683,4312-GVYNH,ACIS-YWVPE,70,8,Yes,Cable,Yes,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,0.0,0.0,26,No,Yes,Yes,49.85,3370.2,0.0,Stayed,No,,,Female,46,No,Yes,0,557,Westminster,33.752591,-117.993661,88230
94109,5130-IEKQT,ACJR-GEHAK,25,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-Month,No,Credit Card,46.34,1158.5,22,Yes,Yes,No,105.95,2655.25,0.0,Churned,Yes,Price,Price too high,Male,73,Yes,No,0,896,San Francisco,37.794487,-122.42227,56330
